# A/B/C の横並び比較。違うのは「WARNING へ入る条件」だけ。最も仮想リターンが高い案を採用する、という使い方はしない（§17）。
section,metric,variant_A,variant_B,variant_C,note
§5 WARNING発生状況,警戒足がその足自身の保有中最高値だった本数,12/31 (39%),9/21 (43%),8/18 (44%),reference_high が直近の天井そのものになり、再高値更新に天井の更新を要求する形
§5 WARNING発生状況,うち二度と reference_high を更新できなかった本数,7/12 (58%),5/9 (56%),5/8 (62%),
§6 WARNING後の決着,warning_low を先に割った警戒足,25/31 (81%),19/21 (90%),16/18 (89%),
§6 WARNING後の決着,reference_high を先に更新した警戒足,3/31 (10%),0/21 (0%),0/18 (0%),「調整 → 再高値更新」という戦略意図どおりの経路
§6 WARNING後の決着,同日に両方到達で順序不明,3/31 (10%),2/21 (10%),2/18 (11%),有利・不利どちらの順番も仮定しない（§10）
§6 WARNING後の決着,どちらにも到達せず終了（STOP到達）,0/31 (0%),0/21 (0%),0/18 (0%),
§6 WARNING後の決着,どちらにも到達せず終了（追跡終端）,0/31 (0%),0/21 (0%),0/18 (0%),
§6 WARNING後の決着,STUCK_IN_WARNING の件数,13/32 (41%),8/32 (25%),8/32 (25%),warning_low を割ったのに CASE3 が WARNING に留まった（解釈(b)。今回は変更しない）
§6 WARNING後の決着,STUCK_IN_WARNING の滞留日数（中央値）,3.0 日,3.0 日,4.0 日,
§6 WARNING後の決着,warning_low を寄りでギャップ割れした警戒足,17/28 (61%),14/21 (67%),13/18 (72%),分母は warning_low を割った警戒足。warning_low での約定は仮定できない
§7 トレーリング,REHIGH_CONFIRMED が発生した件数,9/32 (28%),6/32 (19%),5/32 (16%),WARNING → 調整 → reference_high 再突破まで進んだ件
§7 トレーリング,再高値更新の総回数,12 回,7 回,6 回,
§7 トレーリング,trail stop を1回以上引き上げた件数,8/32 (25%),5/32 (16%),4/32 (12%),「警戒開始を遅らせるだけで trail 成立が改善するか」の主指標
§7 トレーリング,trail stop を2回以上引き上げた件数,2/32 (6%),1/32 (3%),1/32 (3%),
§7 トレーリング,trail stop 更新の総回数,11 回,6 回,5 回,
§7 トレーリング,初期STOPから最初のtrail stopまでの引き上げ幅（中央値）,+5.41%,+8.68%,+8.71%,初期STOP比。1 回目の引き上げのみ
§7 トレーリング,trail成立までの営業日数（中央値・仮想ENTRYから）,6 日,8 日,7 日,1 回目の引き上げが確定した日。有効になるのはその翌営業日
§7 トレーリング,trail成立までの営業日数（中央値・上限突破から）,4 日,4 日,4 日,
§12 利益保持（参考値）,CASE1: 仮想リターン中央値,-4.51%,-4.51%,-4.51%,約定価格は保証されない。母数 32 件なので順位づけには使わない
§12 利益保持（参考値）,CASE1: 最大含み益の中央値,+4.29%,+4.29%,+4.29%,
§12 利益保持（参考値）,CASE1: 吐き出し幅の中央値,9.58pt,9.58pt,9.58pt,最大含み益 − 最終リターン
§12 利益保持（参考値）,CASE2: 仮想リターン中央値,-1.82%,-2.85%,-2.85%,約定価格は保証されない。母数 32 件なので順位づけには使わない
§12 利益保持（参考値）,CASE2: 最大含み益の中央値,+4.18%,+4.18%,+4.18%,
§12 利益保持（参考値）,CASE2: 吐き出し幅の中央値,4.57pt,6.92pt,6.92pt,最大含み益 − 最終リターン
§12 利益保持（参考値）,CASE3: 仮想リターン中央値,-3.77%,-4.33%,-4.51%,約定価格は保証されない。母数 32 件なので順位づけには使わない
§12 利益保持（参考値）,CASE3: 最大含み益の中央値,+4.29%,+4.29%,+4.29%,
§12 利益保持（参考値）,CASE3: 吐き出し幅の中央値,9.00pt,9.00pt,9.00pt,最大含み益 − 最終リターン
§12 利益保持（参考値）,CASE2: 最大含み益+5%以上のケースで残せた割合（中央値）,26%（13件）,26%（13件）,27%（13件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ。分母の最大含み益は 3 案の保有期間の和で取った案に依存しない値なので、対象件数は A/B/C で同じ（+5% 以上に伸びたイベント）
§12 利益保持（参考値）,CASE2: 最大含み益+10%以上のケースで残せた割合（中央値）,26%（6件）,28%（6件）,41%（6件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ。分母の最大含み益は 3 案の保有期間の和で取った案に依存しない値なので、対象件数は A/B/C で同じ（+10% 以上に伸びたイベント）
§12 利益保持（参考値）,CASE3: 最大含み益+5%以上のケースで残せた割合（中央値）,1%（13件）,-36%（13件）,-36%（13件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ。分母の最大含み益は 3 案の保有期間の和で取った案に依存しない値なので、対象件数は A/B/C で同じ（+5% 以上に伸びたイベント）
§12 利益保持（参考値）,CASE3: 最大含み益+10%以上のケースで残せた割合（中央値）,11%（6件）,9%（6件）,-0%（6件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ。分母の最大含み益は 3 案の保有期間の和で取った案に依存しない値なので、対象件数は A/B/C で同じ（+10% 以上に伸びたイベント）
