# 注記: reference_high の決め方だけを 5 案で比較した検証であり、収益バックテストではない。 WARNING 開始条件は VARIANT A、warning_low 割れ後は CLOSE_BREAK（仮想EXITは翌営業日始値）に固定した研究上の基準であって、いずれも正式ルールではない。 ENTRY ロジック / max_position_in_range=0.65 / initial_stop = range_lower*0.995 / warning_low の定義 / 押し安値の取り方 / trail = 押し安値*0.995 / STOP を下げないこと は5 案で完全に同一。新しい%閾値は追加していない。
section,metric,RH-A 保有中最高値,RH-B 警戒足高値,RH-C 前日までの終値高値,RH-D 警戒足始値,RH-E 前日までの高値,note
§13,案ごとの最大含み益 中央値,+4.29%,+4.29%,+4.29%,+4.29%,+4.29%,その案が実際に保有していた期間だけで測った値。案によって窓が違う
§13,追跡窓の最大含み益 中央値（5案共通の分母）,+10.10%,+10.10%,+10.10%,+10.10%,+10.10%,ENTRY から追跡終端までにその銘柄が見せた最大含み益。案に依存しない
§13,吐き出し幅 中央値（共通分母 − 仮想EXITリターン）,12.65%,12.14%,12.47%,12.47%,12.65%,小さいほど取り切れている
§13,最大含み益 +5% 以上に到達したイベント数,23 件,23 件,23 件,23 件,23 件,共通分母で数えているので 5 案とも同じ件数になる
§13,　うち trail stop を引き上げられた件数（+5%）,6/23 (26%),8/23 (35%),8/23 (35%),9/23 (39%),6/23 (26%),
§13,　EXIT 時に残せた利益 中央値（+5%）,-1.97%,-0.97%,-1.97%,-0.97%,-1.97%,
§13,　最大利益のうち残せた割合 中央値（+5%）,-3.53%,-3.53%,-3.53%,-3.53%,-3.53%,共通分母に対する割合。100% なら天井で降りられたということ
§13,最大含み益 +10% 以上に到達したイベント数,16 件,16 件,16 件,16 件,16 件,共通分母で数えているので 5 案とも同じ件数になる
§13,　うち trail stop を引き上げられた件数（+10%）,5/16 (31%),5/16 (31%),6/16 (38%),6/16 (38%),5/16 (31%),
§13,　EXIT 時に残せた利益 中央値（+10%）,-0.03%,-0.03%,-0.03%,-0.03%,-0.03%,
§13,　最大利益のうち残せた割合 中央値（+10%）,1.40%,1.40%,0.98%,0.98%,0.98%,共通分母に対する割合。100% なら天井で降りられたということ
§14,trail STOP で降りたイベント数,5/32 (16%),7/32 (22%),8/32 (25%),11/32 (34%),6/32 (19%),
§14,　うち EXIT 後さらに +3% 以上上昇,5/5 (100%),6/7 (86%),8/8 (100%),10/11 (91%),6/6 (100%),早く上げすぎた trail で、正常な調整で降りた疑いのあるケース
§14,　うち EXIT 後さらに +5% 以上上昇,2/5 (40%),3/7 (43%),5/8 (62%),7/11 (64%),3/6 (50%),早く上げすぎた trail で、正常な調整で降りた疑いのあるケース
§14,　うち EXIT 後さらに +10% 以上上昇,2/5 (40%),2/7 (29%),5/8 (62%),6/11 (55%),3/6 (50%),早く上げすぎた trail で、正常な調整で降りた疑いのあるケース
§14,　うち EXIT 後に保有中最高値を更新,4/5 (80%),5/7 (71%),7/8 (88%),8/11 (73%),5/6 (83%),降りた後で上昇が続いていた（調整が終わっていなかった）ことの直接的な証拠
§14,　EXIT 後の上昇率 中央値,+4.82%,+4.82%,+16.40%,+13.14%,+12.24%,
§21-9,STUCK_IN_WARNING,5/32 (16%),6/32 (19%),6/32 (19%),5/32 (16%),5/32 (16%),warning_low を日中に割ったのに WARNING に留まった日があったイベント
§21-9,INITIAL_STOP_EXIT_AFTER_BREAKOUT,4/32 (12%),4/32 (12%),4/32 (12%),3/32 (9%),4/32 (12%),上限突破後、trail を一度も上げられないまま初期STOPまで戻った
§21-9,EXIT 種別: 利確候補（終値割れ）,13/32 (41%),11/32 (34%),10/32 (31%),8/32 (25%),12/32 (38%),
§21-9,EXIT 種別: trail STOP,5/32 (16%),7/32 (22%),8/32 (25%),11/32 (34%),6/32 (19%),
§21-9,EXIT 種別: 初期STOP（突破前を含む）,14/32 (44%),14/32 (44%),14/32 (44%),13/32 (41%),14/32 (44%),
§7,同日に REHIGH と利確候補（順序不明）,3 日,3 日,5 日,5 日,4 日,どちらが先かは日足では決められないため、順序を決めずに分離した
